dish_id,item_id,item_quantity,item_unit
D100,I100,1,slice
D100,I153,1,tbsp
D100,I105,1,unit
D101,I160,0.5,cup
D101,I147,1,tbsp
D101,I128,0.25,tsp
D101,I106,1,unit
D102,I101,0.5,cup
D102,I136,1,cup
D102,I127,0.25,tsp
D102,I107,15,g
D102,I152,1,tsp
D103,I110,1,cup
D103,I114,30,g
D103,I161,25,g
D103,I136,1,cup
D103,I152,3,tsp
D104,I100,1,slice
D104,I137,0.25,cup
D104,I115,40,g
D104,I110,0.25,cup
D104,I152,1,tsp
D200,I160,0.5,cup
D200,I152,3,tsp
D200,I148,6,unit
D200,I111,1,unit
D201,I137,0.5,cup
D201,I110,0.5,cup
D202,I116,75,g
D202,I158,2,tbsp
D203,I106,1,unit
D203,I153,1,tbsp
D203,I148,12,unit
D204,I115,40,g
D204,I117,40,g
D204,I158,2,tbsp
D205,I160,0.5,cup
D205,I104,0.25,cup
D205,I110,0.25,cup
D205,I152,2,tsp
D205,I148,3,unit
D205,I147,1,tbsp
D206,I149,40,g
D206,I145,10,g
D206,I150,10,g
D300,I141,150,g
D300,I102,0.5,cup
D300,I119,80,g
D300,I116,70,g
D300,I120,60,g
D300,I121,1,cup
D300,I155,2,tbsp
D301,I142,150,g
D301,I118,80,g
D301,I119,80,g
D301,I117,80,g
D301,I102,0.5,cup
D302,I141,150,g
D302,I121,2,cup
D302,I112,75,g
D302,I115,75,g
D302,I124,0.25,unit
D303,I103,0.5,cup
D303,I143,0.5,cup
D303,I114,30,g
D303,I122,80,g
D304,I118,350,g
D304,I103,0.5,cup
D304,I144,0.5,cup
D304,I113,100,g
D304,I124,40,g
D304,I163,0.25,cup
D304,I129,0.25,tsp
D304,I130,0.25,tsp
D304,I138,0.5,cup
D305,I141,150,g
D305,I118,175,g
D305,I123,200,g
D305,I126,400,g
D305,I151,2,tbsp
D305,I131,1,tsp
D305,I132,1,tsp
D305,I133,1,tsp
